,price
623,3806
624,866
625,9126
626,1385
627,11793
628,3494
629,537
630,574
631,2867
632,698
633,540
634,1957
635,3408
636,603
637,758
638,5662
639,1655
640,505
641,2912
642,436
643,559
644,548
645,764
646,18475
647,3854
648,4414
649,5053
650,1639
651,3500
652,1911
653,1238
654,3408
655,3606
656,18295
657,626
658,5783
659,7597
660,3552
661,2380
662,586
663,3597
664,3906
665,5758
666,1117
667,470
668,446
669,6157
670,5567
671,3709
672,5198
673,1061
674,633
675,7279
676,8550
677,1056
678,4234
679,2117
680,763
681,2256
682,1978
683,12693
684,4135
685,9810
686,1040
687,540
688,2251
689,2559
690,8417
691,4763
692,5499
693,921
694,997
695,608
696,1356
697,1284
698,4072
699,3708
700,935
701,7142
702,741
703,2563
704,529
705,11971
706,709
707,4617
708,15517
709,6742
710,2019
711,6529
712,477
713,891
714,10946
715,4469
716,13976
717,4299
718,5050
719,926
720,2831
721,2052
722,4890
723,3668
724,1140
725,10910
726,1586
727,17176
728,7113
729,4082
730,3228
731,2247
732,10727
733,1712
734,969
735,7592
736,1014
737,17688
738,1069
739,5554
740,16287
741,652
742,2657
743,13156
744,14558
745,4682
746,1599
747,2066
748,2360
749,8681
750,1441
751,1155
752,4209
753,5080
754,729
755,7055
756,1453
757,4144
758,4578
759,865
760,5523
761,3038
762,950
763,1140
764,2333
765,734
766,2282
767,810
768,16043
769,499
770,2168
771,1117
772,625
773,3246
774,3278
775,449
776,12226
777,1094
778,1779
779,816
780,600
781,18472
782,2839
783,1569
784,2045
785,3739
786,4271
787,2489
788,4459
789,1588
790,3752
791,969
792,6244
793,878
794,765
795,2875
796,857
797,11262
798,6320
799,717
800,5179
801,633
802,4309
803,2967
804,5361
805,1722
806,906
807,758
808,2954
809,3455
810,714
811,2244
812,3081
813,2947
814,789
815,2746
816,2577
817,1163
818,3945
819,2139
820,14749
821,2883
822,491
823,792
824,3618
825,574
826,2435
827,5610
828,1153
829,6154
830,789
831,8709
832,4456
833,473
834,498
835,1111
836,1229
837,900
838,9487
839,854
840,571
841,2904
842,8254
843,703
844,558
845,18526
846,1148
847,5666
848,2545
849,2525
850,1363
851,1183
852,1160
853,1200
854,3797
855,10682
856,1074
857,10656
858,5758
859,1397
860,9005
861,2710
862,1103
863,608
864,5006
865,9335
866,1015
867,4900
868,2769
869,825
870,2155
871,605
872,874
873,7925
874,696
875,5612
876,1780
877,1721
878,3579
879,4727
880,5421
881,2315
882,1783
883,6639
884,4183
885,2682
886,883
887,7341
888,474
889,6088
890,1358
891,6198
892,5826
893,648
894,786
895,11434
896,3219
897,3299
898,4788
899,3501
900,807
901,3545
902,1115
903,7187
904,589
905,6290
906,4633
907,781
908,5338
909,17334
910,2041
911,4491
912,2337
913,4469
914,1836
915,4189
916,6181
917,1033
918,7526
919,928
920,11487
921,2112
922,1046
923,8107
924,3044
925,1214
926,1076
927,6439
928,3732
929,982
930,854
931,1929
932,1107
933,1124
934,6324
935,3990
936,3767
937,561
938,1094
939,1186
940,1119
941,1343
942,1677
943,961
944,3235
945,791
946,1433
947,5208
948,1356
949,749
950,3087
951,4327
952,1445
953,5600
954,9712
955,925
956,1668
957,6089
958,1736
959,722
960,2263
961,1041
962,9735
963,5702
964,7752
965,7713
966,612
967,3871
968,9346
969,4054
970,11379
971,17141
972,9898
973,579
974,7520
975,18001
976,3537
977,810
978,1556
979,1624
980,1292
981,751
982,11708
983,5444
984,1239
985,1013
986,4693
987,3853
988,878
989,2537
990,709
991,6321
992,1087
993,1404
994,2781
995,13853
996,1197
997,7930
998,2385
999,3369
1000,13607
1001,3758
1002,963
1003,2827
1004,11323
1005,912
1006,3759
1007,2250
1008,477
1009,731
1010,1963
1011,1604
1012,1729
1013,7957
1014,4682
1015,8774
1016,3735
1017,421
1018,1235
1019,2032
1020,2513
1021,4389
1022,3381
1023,1008
1024,6597
1025,2375
1026,536
1027,640
1028,3063
1029,668
1030,453
1031,4226
1032,984
1033,432
1034,441
1035,589
1036,14666
1037,631
1038,956
1039,5259
1040,1654
1041,2872
1042,1657
1043,9847
1044,1800
1045,4398
1046,1013
1047,777
1048,878
1049,11491
1050,7848
1051,3811
1052,816
1053,2041
1054,1232
1055,2697
1056,4435
1057,1382
1058,17582
1059,1074
1060,1037
1061,4209
1062,14127
1063,2153
1064,3873
1065,6741
1066,5804
1067,436
1068,4106
1069,723
1070,9552
1071,1902
1072,8400
1073,1169
1074,7802
1075,905
1076,1698
1077,984
1078,3913
1079,844
1080,886
1081,5771
1082,4304
1083,734
1084,945
1085,669
1086,485
1087,915
1088,1739
1089,571
1090,537
1091,1987
1092,4191
1093,3629
1094,681
1095,6833
1096,4659
1097,552
1098,9039
1099,2053
1100,2347
1101,13820
1102,8181
1103,1030
1104,8151
1105,2638
1106,4751
1107,1230
1108,4964
1109,10241
1110,1841
1111,2954
1112,2633
1113,801
1114,557
1115,4871
1116,4191
1117,6743
1118,4044
1119,698
1120,786
1121,649
1122,1966
1123,8793
1124,11512
1125,1335
1126,698
1127,4778
1128,6146
1129,775
1130,1726
1131,3011
1132,4543
1133,927
1134,601
1135,1433
1136,2874
1137,17649
1138,926
1139,1076
1140,5084
1141,2863
1142,5740
1143,702
1144,2517
1145,1303
1146,5315
1147,574
1148,828
1149,561
1150,6176
1151,8842
1152,649
1153,4412
1154,5324
1155,1152
1156,14426
1157,880
1158,5154
1159,827
1160,4695
1161,515
1162,351
1163,3168
1164,1698
1165,1154
1166,5231
1167,662
1168,614
1169,573
1170,3744
1171,1187
1172,591
1173,3005
1174,8036
1175,2175
1176,470
1177,3117
1178,2644
1179,1013
1180,795
1181,1013
1182,5496
1183,5352
1184,2532
1185,2458
1186,3048
1187,1176
1188,815
1189,3317
1190,1115
1191,1916
1192,9037
1193,933
1194,573
1195,9511
1196,2810
1197,2334
1198,4679
1199,813
1200,2317
1201,6224
1202,4358
1203,501
1204,734
1205,2475
1206,804
1207,602
1208,2374
1209,2797
1210,1319
1211,2590
1212,3157
1213,5623
1214,3335
1215,1197
1216,757
1217,1551
1218,956
1219,4604
1220,608
1221,5374
1222,12361
1223,679
1224,15819
1225,620
1226,3715
1227,2731
1228,360
1229,1698
1230,863
1231,6961
1232,982
1233,3537
1234,1048
1235,9738
1236,883
1237,1273
1238,5864
1239,738
1240,844
1241,18552
1242,2485
1243,1415
1244,11235
1245,932
1246,1413
1247,450
1248,4241
1249,4967
1250,1571
1251,919
1252,7389
1253,7661
1254,945
1255,1424
1256,2959
1257,1877
1258,1694
1259,2737
1260,3734
1261,499
1262,447
1263,4829
1264,4270
1265,7481
1266,7225
1267,2650
1268,13659
1269,1216
1270,2193
1271,926
1272,7257
1273,6335
1274,4731
1275,1818
1276,391
1277,658
1278,3353
1279,8977
1280,3170
1281,6388
1282,10519
1283,13144
1284,3423
1285,1011
1286,1187
1287,4990
1288,1733
1289,2333
1290,1088
1291,7740
1292,9362
1293,6516
1294,6419
1295,625
1296,6271
1297,13052
1298,5132
1299,10956
1300,704
1301,11628
1302,9768
1303,2022
1304,2438
1305,1406
1306,556
1307,7277
1308,450
1309,2060
1310,6045
1311,544
1312,4556
1313,702
1314,6052
1315,4830
1316,1105
1317,594
1318,3295
1319,984
1320,882
1321,6437
1322,537
1323,2956
1324,710
1325,4573
1326,2655
1327,660
1328,918
1329,523
1330,1993
1331,1698
1332,1379
1333,984
1334,2519
1335,1163
1336,5550
1337,9283
1338,8217
1339,1024
1340,4165
1341,5182
1342,872
1343,3710
1344,1056
1345,625
1346,1101
1347,1107
1348,14067
1349,642
1350,4752
1351,7723
1352,4594
1353,835
1354,1229
1355,1592
1356,1720
1357,14364
1358,1933
1359,4612
1360,596
1361,2691
1362,3439
1363,11962
1364,2513
1365,834
1366,2843
1367,2451
1368,7768
1369,4760
1370,9710
1371,4204
1372,742
1373,4238
1374,438
1375,1436
1376,1714
1377,16316
1378,15303
1379,5291
1380,4864
1381,1060
1382,2825
1383,4949
1384,405
1385,4914
1386,583
1387,2692
1388,3450
1389,15412
1390,613
1391,734
1392,15509
1393,1276
1394,12257
1395,3205
1396,4382
1397,776
1398,1154
1399,1691
1400,508
1401,709
1402,11086
1403,633
1404,872
1405,6727
1406,8396
1407,684
1408,4194
1409,12956
1410,9833
1411,4479
1412,1175
1413,894
1414,4455
1415,9090
1416,3692
1417,3679
1418,1947
1419,13344
1420,7255
1421,755
1422,1760
1423,3646
1424,3107
1425,1944
1426,3749
1427,561
1428,873
1429,3054
1430,2157
1431,1053
1432,988
1433,802
1434,2829
1435,3192
1436,1324
1437,3142
1438,995
1439,1324
1440,1142
1441,5178
1442,4613
1443,992
1444,1333
1445,802
1446,706
1447,12168
1448,8549
1449,3787
1450,1840
1451,766
1452,743
1453,18104
1454,3205
1455,812
1456,2609
1457,2160
1458,7087
1459,706
1460,8925
1461,3360
1462,6441
1463,10482
1464,5628
1465,959
1466,2016
1467,893
1468,4899
1469,10197
1470,1915
1471,17050
1472,2034
1473,3387
1474,707
1475,653
1476,594
1477,4472
1478,1695
1479,3459
1480,907
1481,5049
1482,2742
1483,10891
1484,447
1485,17742
1486,5701
1487,3004
1488,2376
1489,12087
1490,1301
1491,11364
1492,963
1493,1406
1494,645
1495,524
1496,2137
1497,5373
1498,5581
1499,2340
1500,593
1501,704
1502,2259
1503,3301
1504,2903
1505,700
1506,5519
1507,8852
1508,2359
1509,1220
1510,1163
1511,648
1512,829
1513,700
1514,9796
1515,852
1516,3363
1517,2602
1518,666
1519,5410
1520,3763
1521,1113
1522,1279
1523,661
1524,2965
1525,6350
1526,5832
1527,15801
1528,2844
1529,2694
1530,1580
1531,1028
1532,6340
1533,2444
1534,1995
1535,665
1536,808
1537,1927
1538,3189
1539,2202
1540,3035
1541,5539
1542,6435
1543,6855
1544,2089
1545,516
1546,2200
1547,2805
1548,1600
1549,2192
1550,2549
1551,7978
1552,5324
1553,13790
1554,4452
1555,695
1556,670
1557,7343
1558,846
1559,504
1560,706
1561,1668
1562,8016
1563,4989
1564,2171
1565,2164
1566,819
1567,779
1568,1076
1569,2973
1570,870
1571,7412
1572,4109
1573,604
1574,675
1575,4222
1576,11147
1577,5106
1578,1053
1579,15239
1580,2817
1581,13701
1582,1873
1583,605
1584,2619
1585,876
1586,1229
1587,734
1588,661
1589,680
1590,583
1591,789
1592,6133
1593,2524
1594,7175
1595,1340
1596,5085
1597,716
1598,3725
1599,16670
1600,790
1601,2337
1602,2642
1603,11666
1604,4155
1605,5406
1606,6664
1607,1072
1608,4147
1609,561
1610,3595
1611,2001
1612,598
1613,523
1614,10483
1615,964
1616,3931
1617,1654
1618,933
1619,1303
1620,8217
1621,1896
1622,9831
1623,992
1624,1136
1625,1107
1626,5329
1627,4497
1628,1385
1629,4637
1630,984
1631,1813
1632,422
1633,10337
1634,4730
1635,6138
1636,4060
1637,6935
1638,4150
1639,1291
1640,4707
1641,3538
1642,593
1643,605
1644,1079
1645,7819
1646,501
1647,6377
1648,12458
1649,1123
1650,6580
1651,9346
1652,8114
1653,857
1654,490
1655,4639
1656,2691
1657,9281
1658,3035
1659,589
1660,536
1661,2182
1662,1802
1663,620
1664,7351
1665,600
1666,9053
1667,3429
1668,1073
1669,663
1670,1883
1671,1999
1672,3649
1673,3220
1674,6443
1675,449
1676,1715
1677,1046
1678,1590
1679,4784
1680,2977
1681,821
1682,9060
1683,853
1684,3878
1685,1993
1686,733
1687,561
1688,1370
1689,7310
1690,5408
1691,698
1692,445
1693,7450
1694,5033
1695,4403
1696,417
1697,3114
1698,868
1699,14709
1700,4486
1701,5501
1702,4357
1703,694
1704,3223
1705,5424
1706,4895
1707,9281
1708,4363
1709,3709
1710,5177
1711,1147
1712,701
1713,2700
1714,2454
1715,2036
1716,714
1717,1401
1718,1250
1719,1439
1720,7677
1721,1172
1722,784
1723,2721
1724,2519
1725,2739
1726,3061
1727,2066
1728,680
1729,571
1730,659
1731,2319
1732,18090
1733,746
1734,726
1735,3346
1736,9412
1737,8157
1738,1987
1739,11844
1740,882
1741,692
1742,833
1743,984
1744,499
1745,1767
1746,4853
1747,18236
1748,3026
1749,7985
1750,1210
1751,4155
1752,2630
1753,9660
1754,491
1755,848
1756,5068
1757,12743
1758,3780
1759,1013
1760,612
1761,1683
1762,14383
1763,1016
1764,6108
1765,878
1766,4077
1767,3818
1768,956
1769,9476
1770,603
1771,6389
1772,1103
1773,6727
1774,4743
1775,3505
1776,522
1777,2010
1778,7056
1779,2968
1780,11554
1781,3650
1782,556
1783,4179
1784,14833
1785,17552
1786,1107
1787,10088
1788,1020
1789,2481
1790,9961
1791,4547
1792,3489
1793,6765
1794,8690
1795,7780
1796,4086
1797,2867
1798,1551
1799,947
1800,5033
1801,993
1802,615
1803,1079
1804,684
1805,7665
1806,3629
1807,1815
1808,1044
1809,1709
1810,542
1811,14375
1812,7771
1813,17988
1814,3376
1815,2037
1816,3715
1817,734
1818,1746
1819,821
1820,3349
1821,3595
1822,9891
1823,942
1824,8596
1825,5433
1826,3139
1827,954
1828,16733
1829,2112
1830,792
1831,886
1832,720
1833,14474
1834,5550
1835,5378
1836,4639
1837,5370
1838,1274
1839,575
1840,720
1841,1793
1842,550
1843,4081
1844,6509
1845,6169
1846,3694
1847,405
1848,677
1849,2246
1850,886
1851,720
1852,4295
1853,613
1854,8294
1855,580
1856,1115
1857,723
1858,1125
1859,1014
1860,844
1861,3411
1862,18508
1863,1094
1864,6545
1865,8829
1866,1115
1867,1179
1868,4309
1869,486
1870,12409
1871,16592
1872,2513
1873,758
1874,3713
1875,1406
1876,4805
1877,1200
1878,4140
1879,878
1880,10086
1881,4989
1882,689
1883,2167
1884,2756
1885,7274
1886,648
1887,874
1888,480
1889,3428
1890,1723
1891,1907
1892,6766
1893,1840
1894,1662
1895,2321
1896,6915
1897,1013
1898,11869
1899,9711
1900,10096
1901,1163
1902,2487
1903,747
1904,696
1905,681
1906,4239
1907,14208
1908,5137
1909,2753
1910,7982
1911,14106
1912,10859
1913,1016
1914,864
1915,7582
1916,4973
1917,2346
1918,1116
1919,4620
1920,814
1921,13642
1922,2835
1923,6342
1924,1273
1925,936
1926,2858
1927,541
1928,4586
1929,3420
1930,2241
1931,8830
1932,1092
1933,4710
1934,682
1935,3830
1936,954
1937,4064
1938,6565
1939,814
1940,1691
1941,13060
1942,823
1943,5506
1944,4571
1945,1350
1946,1712
1947,4981
1948,1803
1949,3905
1950,1367
1951,550
1952,15897
1953,2813
1954,17714
1955,571
1956,3884
1957,942
1958,1591
1959,4327
1960,837
1961,10000
1962,676
1963,2278
1964,4372
1965,6027
1966,806
1967,6662
1968,3002
1969,462
1970,771
1971,1324
1972,2031
1973,846
1974,552
1975,1902
1976,1919
1977,10546
1978,12907
1979,1715
1980,11322
1981,4816
1982,4851
1983,6509
1984,10091
1985,2386
1986,6429
1987,1944
1988,1758
1989,8654
1990,522
1991,485
1992,7388
1993,2607
1994,378
1995,2947
1996,3879
1997,1652
1998,1079
1999,15785
2000,2066
2001,1177
2002,4779
2003,4784
2004,1974
2005,1271
2006,3671
2007,722
2008,11635
2009,633
2010,7988
2011,971
2012,4233
2013,4325
2014,1257
2015,1942
2016,3710
2017,676
2018,647
2019,3483
2020,1118
2021,558
2022,2268
2023,616
2024,634
2025,4371
2026,743
2027,8654
2028,1120
2029,879
2030,4068
2031,10184
2032,4798
2033,14814
2034,624
2035,526
2036,671
2037,4135
2038,814
2039,5668
2040,1047
2041,947
2042,4497
2043,1909
2044,710
2045,1930
2046,3712
2047,7745
2048,9970
2049,625
2050,15584
2051,720
2052,1068
2053,7836
2054,1847
2055,2862
2056,2513
2057,2536
2058,1179
2059,1079
2060,475
2061,6210
2062,1177
2063,2021
2064,2012
2065,4427
2066,1942
2067,13542
2068,3146
2069,3839
2070,10107
2071,972
2072,1873
2073,2813
2074,852
2075,968
2076,4906
2077,707
2078,628
2079,1576
2080,895
2081,3750
2082,3321
2083,759
2084,506
2085,5709
2086,999
2087,18756
2088,3379
2089,8294
2090,14426
2091,5382
2092,1306
2093,4044
2094,4657
2095,4190
2096,2415
2097,875
2098,14130
2099,1195
2100,958
2101,9082
2102,1155
2103,13112
2104,1874
2105,4260
2106,1319
2107,10389
2108,1561
2109,10457
2110,2854
2111,585
2112,6806
2113,11161
2114,1728
2115,1051
2116,704
2117,3403
2118,5003
2119,834
2120,2550
2121,13329
2122,608
2123,434
2124,393
2125,9215
2126,1000
2127,720
2128,2262
2129,700
2130,1010
2131,468
2132,7500
2133,14308
2134,4138
2135,1265
2136,732
2137,2367
2138,2815
2139,4860
2140,561
2141,1081
2142,5163
2143,1777
2144,425
2145,798
2146,1115
2147,1800
2148,1126
2149,8501
2150,7340
2151,943
2152,789
2153,9648
2154,1302
2155,460
2156,730
2157,1866
2158,14071
2159,1984
2160,3133
2161,2360
2162,407
2163,1609
2164,2445
2165,12342
2166,450
2167,2802
2168,599
2169,1069
2170,1908
2171,2435
2172,6324
2173,7100
2174,7683
2175,950
2176,1975
2177,2076
2178,2542
2179,2058
2180,523
2181,675
2182,17068
2183,2737
2184,5457
2185,8637
2186,4413
2187,776
2188,3411
2189,744
2190,11088
2191,961
2192,703
2193,2790
2194,11510
2195,710
2196,1009
2197,18405
2198,678
2199,2622
2200,10793
2201,10580
2202,445
2203,8733
2204,3417
2205,1103
2206,811
2207,1243
2208,17934
2209,2218
2210,3172
2211,1434
2212,13678
2213,2975
2214,1163
2215,1326
2216,10200
2217,6236
2218,821
2219,790
2220,2536
2221,612
2222,478
2223,2986
2224,530
2225,1323
2226,1056
2227,5096
2228,693
2229,1422
2230,11790
2231,4867
2232,10353
2233,1244
2234,1061
2235,2191
2236,751
2237,6075
2238,802
2239,1268
2240,4434
2241,863
2242,2247
2243,4827
2244,2655
2245,5156
2246,10349
2247,2723
2248,814
2249,4914
2250,2276
2251,963
2252,9030
2253,2724
2254,727
2255,3205
2256,4884
2257,1023
2258,723
2259,1329
2260,1251
2261,753
2262,7544
2263,438
2264,577
2265,5831
2266,1374
2267,620
2268,1813
2269,1562
2270,2942
2271,882
2272,1600
2273,2885
2274,2870
2275,17049
2276,4081
2277,692
2278,2384
2279,906
2280,1694
2281,10309
2282,544
2283,1795
2284,5598
2285,9636
2286,9525
2287,10111
2288,1414
2289,2271
2290,5551
2291,628
2292,4128
2293,4270
2294,5158
2295,614
2296,1114
2297,1936
2298,1286
2299,1316
2300,3749
2301,491
2302,5047
2303,581
2304,2447
2305,14853
2306,5964
2307,408
2308,4514
2309,13926
2310,380
2311,4366
2312,5260
2313,2293
2314,3785
2315,11180
2316,2575
2317,2613
2318,4022
2319,758
2320,4751
2321,2882
2322,3763
2323,1808
2324,2805
2325,1619
2326,1147
2327,9000
2328,3963
2329,1781
2330,3830
2331,6332
2332,1580
2333,779
2334,878
2335,3415
2336,756
2337,4092
2338,4838
2339,765
2340,1974
2341,886
2342,717
2343,945
2344,5254
2345,9586
2346,9596
2347,421
2348,1171
2349,6403
2350,1180
2351,523
2352,2682
2353,394
2354,830
2355,14180
2356,7573
2357,526
2358,3893
2359,5318
2360,829
2361,2479
2362,4467
2363,526
2364,7400
2365,3896
2366,891
2367,7863
2368,2376
2369,4163
2370,4304
2371,1395
2372,447
2373,3846
2374,3059
2375,2041
2376,7280
2377,930
2378,5729
2379,3945
2380,574
2381,1105
2382,15609
2383,858
2384,1781
2385,4537
2386,3601
2387,5637
2388,18291
2389,526
2390,2952
2391,571
2392,524
2393,13744
2394,2037
2395,1451
2396,16793
2397,5783
2398,11939
2399,558
2400,4264
2401,4770
2402,5012
2403,5829
2404,1449
2405,871
2406,4468
2407,1721
2408,10342
2409,1438
2410,1031
2411,650
2412,671
2413,2236
2414,593
2415,558
2416,6530
2417,899
2418,734
2419,886
2420,611
2421,13824
2422,2268
2423,1103
2424,7037
2425,624
2426,8416
2427,407
2428,447
2429,7718
2430,653
2431,10618
2432,3880
2433,2119
2434,900
2435,3933
2436,777
2437,3427
2438,710
2439,684
2440,13996
2441,522
2442,526
2443,1640
2444,3093
2445,10891
2446,6532
2447,524
2448,5101
2449,6814
2450,1813
2451,625
2452,2762
2453,1230
2454,1746
2455,596
2456,605
2457,17816
2458,9786
2459,1654
2460,1953
2461,4916
2462,473
2463,5855
2464,10080
2465,4467
2466,724
2467,9043
2468,5147
2469,605
2470,2512
2471,1684
2472,2106
2473,1421
2474,5185
2475,752
2476,2281
2477,1068
2478,3217
2479,4679
2480,419
2481,4126
2482,13631
2483,3012
2484,2975
2485,1626
2486,589
2487,492
2488,720
2489,984
2490,2138
2491,986
2492,13182
2493,10550
2494,3622
2495,1015
2496,1332
2497,473
2498,5373
2499,8001
2500,912
2501,2421
2502,3960
2503,765
2504,606
2505,11040
2506,2283
2507,2519
2508,4084
2509,1853
2510,530
2511,5285
2512,8429
2513,2496
2514,4879
2515,4496
2516,1207
2517,4118
2518,4936
2519,721
2520,4368
2521,6780
2522,6661
2523,2592
2524,4444
2525,12380
2526,1202
2527,18281
2528,8831
2529,1422
2530,7656
2531,5588
2532,5166
2533,8758
2534,13626
2535,2592
2536,526
2537,868
2538,4873
2539,796
2540,11105
2541,421
2542,3404
2543,473
2544,7056
2545,473
2546,574
2547,827
2548,1033
2549,961
2550,574
2551,4928
2552,2610
2553,6013
2554,606
2555,16241
2556,746
2557,3619
2558,405
2559,1094
2560,13820
2561,1614
2562,1977
2563,1636
2564,7203
2565,990
2566,6563
2567,10589
2568,4573
2569,16210
2570,11395
2571,3674
2572,6221
2573,496
2574,945
2575,5430
2576,6787
2577,1255
2578,6066
2579,698
2580,17530
2581,5091
2582,715
2583,1318
2584,740
2585,2507
2586,2120
2587,6763
2588,2390
2589,2671
2590,11999
2591,9539
2592,12146
2593,1802
2594,1041
2595,4153
2596,7744
2597,976
2598,5787
2599,3207
2600,11746
2601,11709
2602,3605
2603,5335
2604,9170
2605,6787
2606,1135
2607,2078
2608,8145
2609,746
2610,3369
2611,10702
2612,4620
2613,5861
2614,4328
2615,949
2616,1717
